,Country,Percentile_of_1,Fatality_95_Percentile
0,Afghanistan,87.5,57.9
1,Algeria,90,633.2
2,Angola,90.9,1344.1
3,Armenia,51.4,341.0
4,Azerbaijan,76.8,39.1
5,Bahrain,96.6,1843.2
6,Benin,78.2,85.5
7,Botswana,96.2,14.1
8,Bulgaria,95,1.1
9,Burkina Faso,85,1189.9
10,Burundi,10.1,352.3
11,Cameroon,72.9,242.5
12,Cape Verde,9999,9999.0
13,Central African Republic,72.3,934.0
14,Chad,82.1,1573.5
15,Comoros,92.4,1563.9
16,Congo,84.8,225.3
17,"Congo, DRC",75.4,736.6
18,Cote d'Ivoire,90,119.2
19,Djibouti,70,388.9
20,Egypt,84.6,169.6
21,Equatorial Guinea,94.2,5.8
22,Eritrea,68.4,329.0
23,Ethiopia,64.3,930.3
24,Gabon,91.2,163.9
25,Georgia,97.2,28.7
26,Ghana,83.1,87.3
27,Greece,98.8,3.1
28,Guinea,77.5,430.1
29,Guinea-Bissau,68.1,88.4
30,Iran,85.7,215.3
31,Iraq,58.5,1017.3
32,Israel,17.5,57.7
33,Jordan,49.2,1060.6
34,Kenya,61.7,403.7
35,Kuwait,78.7,120.1
36,Lebanon,32.6,1204.1
37,Lesotho,78.2,33.1
38,Liberia,80.2,747.7
39,Libya,94.5,6009.9
40,Madagascar,99.5,30.7
41,Malawi,99,224.6
42,Mali,88.2,2105.2
43,Mauritania,96.3,554.3
44,Mauritius,9999,9999.0
45,Morocco,97.5,477.8
46,Mozambique,94.2,376.5
47,Namibia,98.9,5032.9
48,Niger,85.8,2582.5
49,Nigeria,70.9,206.1
50,Oman,98.7,150.2
51,Pakistan,94.3,58.4
52,Qatar,96.6,1843.2
53,Rwanda,10.1,352.3
54,Sao Tome and Principe,99.8,2.6
55,Saudi Arabia,90,1067.9
56,Senegal,87.8,111.5
57,Seychelles,99.9,11.5
58,Sierra Leone,74.9,794.6
59,Somalia,65.3,429.4
60,South Africa,94.7,58.8
61,South Sudan,33.6,553.1
62,Sudan,76.4,1177.8
63,Swaziland,87.8,106.1
64,Syria,25.4,882.9
65,Tanzania,79.5,257.3
66,The Gambia,83.1,76.5
67,Togo,78.2,85.5
68,Tunisia,85,52.7
69,Turkey,79.2,404.1
70,Turkmenistan,50,4.5
71,USSR,83.3,68.3
72,Uganda,50,420.1
73,United Arab Emirates,98.1,1542.0
74,Yemen,82.6,353.1
75,Yemen Arab Republic,81.7,1953.2
76,Yemen People's Republic,88.9,1852.8
77,Zambia,94.2,1206.8
78,Zimbabwe,99,122.9
