,Country,Percentile_of_1,Fatality_95_Percentile
0,Afghanistan,98.3,35.6
1,Algeria,99.5,17.4
2,Angola,99.7,864.0
3,Armenia,99.2,5.0
4,Azerbaijan,98.4,38.5
5,Bahrain,98.6,1.1
6,Benin,99.9,91.5
7,Botswana,9999,9999.0
8,Bulgaria,9999,9999.0
9,Burkina Faso,98.6,51.5
10,Burundi,82.8,23.4
11,Cameroon,99.5,24.4
12,Cape Verde,9999,9999.0
13,Central African Republic,99.5,441.9
14,Chad,99.9,3449.1
15,Comoros,99.9,23.6
16,Congo,50,104.2
17,"Congo, DRC",99.2,134.6
18,Cote d'Ivoire,99.7,59.3
19,Djibouti,99.2,530.0
20,Egypt,99.8,135.7
21,Equatorial Guinea,9999,9999.0
22,Eritrea,99.8,18191.8
23,Ethiopia,99.4,339.8
24,Gabon,9999,9999.0
25,Georgia,99.8,18.0
26,Ghana,99.9,121.3
27,Greece,9999,9999.0
28,Guinea,99.9,105.6
29,Guinea-Bissau,99.4,75.8
30,Iran,99.9,23.7
31,Iraq,95.8,102.2
32,Israel,80.1,5.7
33,Jordan,99.7,67.1
34,Kenya,99.3,108.2
35,Kuwait,50,359.5
36,Lebanon,87.8,12.1
37,Lesotho,99.9,9.6
38,Liberia,98.5,734.2
39,Libya,99.9,2917.4
40,Madagascar,99.9,17.6
41,Malawi,9999,9999.0
42,Mali,99.4,846.3
43,Mauritania,99.9,485.7
44,Mauritius,9999,9999.0
45,Morocco,99.9,4585.9
46,Mozambique,99.9,159.6
47,Namibia,99.9,147.3
48,Niger,99.8,402.5
49,Nigeria,97.8,46.5
50,Oman,9999,9999.0
51,Pakistan,99.3,32.4
52,Qatar,9999,9999.0
53,Rwanda,94.3,1522.5
54,Sao Tome and Principe,100,2.7
55,Saudi Arabia,99.9,261.6
56,Senegal,99.5,32.6
57,Seychelles,9999,9999.0
58,Sierra Leone,95.5,95.9
59,Somalia,97.8,197.7
60,South Africa,99.6,6.5
61,South Sudan,98.3,351.1
62,Sudan,99.5,552.7
63,Swaziland,99.8,14.5
64,Syria,86.2,162.3
65,Tanzania,99.9,5.9
66,The Gambia,98.7,25.0
67,Togo,99.7,16.0
68,Tunisia,99.7,11.0
69,Turkey,98.1,25.8
70,Turkmenistan,9999,9999.0
71,USSR,99.7,2.0
72,Uganda,97.5,72.0
73,United Arab Emirates,99.9,6.2
74,Yemen,97.5,69.6
75,Yemen Arab Republic,9999,9999.0
76,Yemen People's Republic,9999,9999.0
77,Zambia,99.9,273.0
78,Zimbabwe,99.9,7.5
