,Country,Percentile_of_1,Fatality_95_Percentile
0,Afghanistan,94.2,53.5
1,Algeria,95.6,131.1
2,Angola,96.6,932.4
3,Armenia,90.6,34.5
4,Azerbaijan,89.5,41.2
5,Bahrain,97.1,2144.3
6,Benin,94.2,18.7
7,Botswana,99.9,33.0
8,Bulgaria,9999,9999.0
9,Burkina Faso,91.8,361.8
10,Burundi,55.4,162.9
11,Cameroon,88.1,156.5
12,Cape Verde,9999,9999.0
13,Central African Republic,95,684.2
14,Chad,99,1024.6
15,Comoros,99.8,23.6
16,Congo,95.9,173.7
17,"Congo, DRC",95,273.3
18,Cote d'Ivoire,96.4,166.9
19,Djibouti,88.5,480.1
20,Egypt,95.1,81.3
21,Equatorial Guinea,9999,9999.0
22,Eritrea,93.7,662.2
23,Ethiopia,91.4,525.6
24,Gabon,99.8,251.1
25,Georgia,95.4,38.3
26,Ghana,98.5,100.6
27,Greece,99.3,2.1
28,Guinea,94.6,296.8
29,Guinea-Bissau,95,58.9
30,Iran,99,55.3
31,Iraq,72.3,265.8
32,Israel,17.7,12.6
33,Jordan,69.6,288.8
34,Kenya,89.2,173.9
35,Kuwait,50,567.0
36,Lebanon,49.9,304.0
37,Lesotho,95.5,14.6
38,Liberia,88.2,419.3
39,Libya,98.5,4435.7
40,Madagascar,50,25.7
41,Malawi,99.8,277.8
42,Mali,94.8,1164.7
43,Mauritania,99.5,328.7
44,Mauritius,9999,9999.0
45,Morocco,99.1,453.7
46,Mozambique,97.5,207.9
47,Namibia,99.9,315.9
48,Niger,96.8,1271.4
49,Nigeria,84.4,129.6
50,Oman,99.9,132.3
51,Pakistan,96.6,81.4
52,Qatar,98.6,2144.3
53,Rwanda,56.7,121.3
54,Sao Tome and Principe,100,2.7
55,Saudi Arabia,99.1,465.1
56,Senegal,95.4,58.6
57,Seychelles,9999,9999.0
58,Sierra Leone,80.2,319.0
59,Somalia,83.1,266.6
60,South Africa,97.5,13.1
61,South Sudan,80.1,391.2
62,Sudan,92.7,774.3
63,Swaziland,94.9,12.4
64,Syria,63.9,489.8
65,Tanzania,95.9,276.7
66,The Gambia,80.7,59.1
67,Togo,96.8,105.6
68,Tunisia,95.1,58.2
69,Turkey,85.1,166.0
70,Turkmenistan,50,4.1
71,USSR,96.5,7.8
72,Uganda,73.5,193.0
73,United Arab Emirates,99.9,6.2
74,Yemen,90.4,193.7
75,Yemen Arab Republic,9999,9999.0
76,Yemen People's Republic,9999,9999.0
77,Zambia,99.7,488.0
78,Zimbabwe,99.2,54.5
