Id,gid
1,253441
1,253442
1,253443
1,253444
1,253445
1,253446
1,253447
1,253448
1,254161
1,254162
1,254163
1,254164
1,254165
1,254166
1,254167
1,254168
1,254881
1,254882
1,254883
1,254884
1,254885
1,254886
1,254887
1,254888
1,255601
1,255602
1,255603
1,255604
1,255605
1,255606
1,255607
1,255608
1,256321
1,256322
1,256323
1,256324
1,256325
1,256326
1,256327
1,256328
1,257041
1,257042
1,257043
1,257044
1,257045
1,257046
1,257047
1,257048
1,257761
1,257762
1,257763
1,257764
1,257765
1,257766
1,257767
1,257768
1,258481
1,258482
1,258483
1,258484
1,258485
1,258486
1,258487
1,258488
2,253449
2,253450
2,253451
2,253452
2,253453
2,253454
2,253455
2,253456
2,254169
2,254170
2,254171
2,254172
2,254173
2,254174
2,254175
2,254176
2,254889
2,254890
2,254891
2,254892
2,254893
2,254894
2,254895
2,254896
2,255609
2,255610
2,255611
2,255612
2,255613
2,255614
2,255615
2,255616
2,256329
2,256330
2,256331
2,256332
2,256333
2,256334
2,256335
2,256336
2,257049
2,257050
2,257051
2,257052
2,257053
2,257054
2,257055
2,257056
2,257769
2,257770
2,257771
2,257772
2,257773
2,257774
2,257775
2,257776
2,258489
2,258490
2,258491
2,258492
2,258493
2,258494
2,258495
2,258496
3,253457
3,253458
3,253459
3,253460
3,253461
3,253462
3,253463
3,253464
3,254177
3,254178
3,254179
3,254180
3,254181
3,254182
3,254183
3,254184
3,254897
3,254898
3,254899
3,254900
3,254901
3,254902
3,254903
3,254904
3,255617
3,255618
3,255619
3,255620
3,255621
3,255622
3,255623
3,255624
3,256337
3,256338
3,256339
3,256340
3,256341
3,256342
3,256343
3,256344
3,257057
3,257058
3,257059
3,257060
3,257061
3,257062
3,257063
3,257064
3,257777
3,257778
3,257779
3,257780
3,257781
3,257782
3,257783
3,257784
3,258497
3,258498
3,258499
3,258500
3,258501
3,258502
3,258503
3,258504
4,253465
4,253466
4,253467
4,253468
4,253469
4,253470
4,253471
4,253472
4,254185
4,254186
4,254187
4,254188
4,254189
4,254190
4,254191
4,254192
4,254905
4,254906
4,254907
4,254908
4,254909
4,254910
4,254911
4,254912
4,255625
4,255626
4,255627
4,255628
4,255629
4,255630
4,255631
4,255632
4,256345
4,256346
4,256347
4,256348
4,256349
4,256350
4,256351
4,256352
4,257065
4,257066
4,257067
4,257068
4,257069
4,257070
4,257071
4,257072
4,257785
4,257786
4,257787
4,257788
4,257789
4,257790
4,257791
4,257792
4,258505
4,258506
4,258507
4,258508
4,258509
4,258510
4,258511
4,258512
5,253473
5,253474
5,253475
5,253476
5,253477
5,253478
5,253479
5,253480
5,254193
5,254194
5,254195
5,254196
5,254197
5,254198
5,254199
5,254200
5,254913
5,254914
5,254915
5,254916
5,254917
5,254918
5,254919
5,254920
5,255633
5,255634
5,255635
5,255636
5,255637
5,255638
5,255639
5,255640
5,256353
5,256354
5,256355
5,256356
5,256357
5,256358
5,256359
5,256360
5,257073
5,257074
5,257075
5,257076
5,257077
5,257078
5,257079
5,257080
5,257793
5,257794
5,257795
5,257796
5,257797
5,257798
5,257799
5,257800
5,258513
5,258514
5,258515
5,258516
5,258517
5,258518
5,258519
5,258520
6,253481
6,253482
6,253483
6,253484
6,253485
6,253486
6,253487
6,253488
6,254201
6,254202
6,254203
6,254204
6,254205
6,254206
6,254207
6,254208
6,254921
6,254922
6,254923
6,254924
6,254925
6,254926
6,254927
6,254928
6,255641
6,255642
6,255643
6,255644
6,255645
6,255646
6,255647
6,255648
6,256361
6,256362
6,256363
6,256364
6,256365
6,256366
6,256367
6,256368
6,257081
6,257082
6,257083
6,257084
6,257085
6,257086
6,257087
6,257088
6,257801
6,257802
6,257803
6,257804
6,257805
6,257806
6,257807
6,257808
6,258521
6,258522
6,258523
6,258524
6,258525
6,258526
6,258527
6,258528
7,253489
7,253490
7,253491
7,253492
7,253493
7,253494
7,253495
7,253496
7,254209
7,254210
7,254211
7,254212
7,254213
7,254214
7,254215
7,254216
7,254929
7,254930
7,254931
7,254932
7,254933
7,254934
7,254935
7,254936
7,255649
7,255650
7,255651
7,255652
7,255653
7,255654
7,255655
7,255656
7,256369
7,256370
7,256371
7,256372
7,256373
7,256374
7,256375
7,256376
7,257089
7,257090
7,257091
7,257092
7,257093
