Id,gid
1,257761
1,257762
1,258481
1,258482
2,257763
2,257764
2,258483
2,258484
3,257765
3,257766
3,258485
3,258486
4,257767
4,257768
4,258487
4,258488
5,257769
5,257770
5,258489
5,258490
6,257771
6,257772
6,258491
6,258492
7,257773
7,257774
7,258493
7,258494
8,257775
8,257776
8,258495
8,258496
9,257777
9,257778
9,258497
9,258498
10,257779
10,257780
10,258499
10,258500
11,257781
11,257782
11,258501
11,258502
12,257783
12,257784
12,258503
12,258504
13,257785
13,257786
13,258505
13,258506
14,257787
14,257788
14,258507
14,258508
15,257789
15,257790
15,258509
15,258510
16,257791
16,257792
16,258511
16,258512
17,257793
17,257794
17,258513
17,258514
18,257795
18,257796
18,258515
18,258516
19,257797
19,257798
19,258517
19,258518
20,257799
20,257800
20,258519
20,258520
21,257801
21,257802
21,258521
21,258522
22,257803
22,257804
22,258523
22,258524
23,257805
23,257806
23,258525
23,258526
24,257807
24,257808
24,258527
24,258528
25,257809
25,257810
25,258529
25,258530
26,257811
26,257812
26,258531
26,258532
27,257813
27,257814
27,258533
27,258534
28,257815
28,257816
28,258535
28,258536
29,257817
29,257818
29,258537
29,258538
30,257819
30,257820
30,258539
30,258540
31,257821
31,257822
31,258541
31,258542
32,257823
32,257824
32,258543
32,258544
33,257825
33,257826
33,258545
33,258546
34,257827
34,257828
34,258547
34,258548
35,257829
35,257830
35,258549
35,258550
36,257831
36,257832
36,258551
36,258552
37,257833
37,257834
37,258553
37,258554
38,257835
38,257836
38,258555
38,258556
39,257837
39,257838
39,258557
39,258558
40,257839
40,257840
40,258559
40,258560
41,257841
41,257842
41,258561
41,258562
42,257843
42,257844
42,258563
42,258564
43,257845
43,257846
43,258565
43,258566
44,257847
44,257848
44,258567
44,258568
45,257849
45,257850
45,258569
45,258570
46,257851
46,257852
46,258571
46,258572
47,257853
47,257854
47,258573
47,258574
48,257855
48,257856
48,258575
48,258576
49,257857
49,257858
49,258577
49,258578
50,257859
50,257860
50,258579
50,258580
51,257861
51,257862
51,258581
51,258582
52,257863
52,257864
52,258583
52,258584
53,257865
53,257866
53,258585
53,258586
54,257867
54,257868
54,258587
54,258588
55,257869
55,257870
55,258589
55,258590
56,257871
56,257872
56,258591
56,258592
57,257873
57,257874
57,258593
57,258594
58,257875
58,257876
58,258595
58,258596
59,257877
59,257878
59,258597
59,258598
60,257879
60,257880
60,258599
60,258600
61,257881
61,257882
61,258601
61,258602
62,257883
62,257884
62,258603
62,258604
63,257885
63,257886
63,258605
63,258606
64,257887
64,257888
64,258607
